Cycle,NO.1,NO.2,NO.3,NO.4,NO.5,NO.6,NO.7,NO.8,NO.9,NO.10,NO.11,NO.12,NO.13,NO.14,NO.15,NO.16,NO.17,NO.18,NO.19,NO.20,NO.21,NO.22,NO.23,NO.24,NO.25,NO.26,NO.27,NO.28,NO.29,NO.30,NO.31,NO.32,NO.33,NO.34,NO.35,NO.36,NO.37,NO.38,NO.39,NO.40,NO.41,NO.42,NO.43,NO.44,NO.45,NO.46,NO.47,NO.48,NO.49,NO.50,NO.51,NO.52,NO.53,NO.54,NO.55,NO.56,NO.57,NO.58,NO.59,NO.60,NO.61,NO.62,NO.63,NO.64,NO.65,NO.66,NO.67,NO.68,NO.69,NO.70,NO.71,NO.72,NO.73,NO.74,NO.75,NO.76,NO.77,NO.78,NO.79
1,1.078588112,1.060112077,1.077240967,1.067462814,1.084479107,1.076303529,1.062429899,1.089407682,1.07678033,1.088459012,1.081416815,1.08197598,1.086618668,1.080143466,1.094344172,1.080181204,1.094445249,1.074572563,1.081425349,1.077598399,1.074441571,1.085712691,1.08219157,1.080510437,1.086439282,1.070083266,1.087808629,1.088496922,1.075288848,1.095382195,1.036631397,1.069136942,1.057461408,1.073935113,1.068943891,1.059750699,1.029344028,1.07557279,1.087774361,1.076126076,1.083523073,1.073425028,1.072387239,1.066968097,1.076629611,1.069831119,1.076943889,1.07887316,1.043047256,1.070799908,1.079293518,1.085722035,1.075703583,1.07048107,1.085580771,1.08249142,1.073152921,1.085660183,1.079915464,1.074471735,1.085316262,1.080126773,1.075826977,1.073138866,1.078649737,1.043374965,1.071364264,1.050404797,1.06231396,1.059416567,1.060408319,1.064783275,1.064850907,1.069140143,1.072368434,1.059636349,1.058870891,1.052058171,1.067367154
2,1.078597497,1.060082139,1.077196577,1.067464114,1.084524898,1.076314441,1.062400571,1.089278387,1.076780256,1.088456293,1.081340479,1.081941731,1.086565458,1.080165664,1.094339803,1.08012798,1.094384259,1.074533216,1.081352188,1.07752773,1.074456303,1.085649003,1.08218068,1.08052847,1.086278974,1.069994651,1.087620629,1.08833415,1.075417141,1.095354028,1.036325418,1.069114231,1.057299929,1.073584421,1.068914944,1.059526118,1.029339113,1.075521566,1.087626068,1.076045685,1.083420688,1.073210367,1.072289798,1.066918353,1.076565504,1.069748536,1.076831089,1.07885657,1.04289352,1.070783208,1.079308579,1.08565055,1.075633139,1.070515218,1.085538544,1.08243113,1.073239249,1.08569341,1.079802682,1.074417696,1.085129096,1.080016012,1.075798491,1.073091108,1.078718402,1.043436064,1.071290678,1.050113887,1.062409474,1.059511132,1.060426832,1.064796092,1.064883758,1.069163416,1.07240606,1.059719653,1.058912865,1.052126547,1.067394216
3,1.078606638,1.060051716,1.077151924,1.067464182,1.084569136,1.076324441,1.062368837,1.089149708,1.076779567,1.088452791,1.081264358,1.081907103,1.086512292,1.080185963,1.094334499,1.080074366,1.094323055,1.074493474,1.081278956,1.077456779,1.074469066,1.085584927,1.082169581,1.080545661,1.086120368,1.069906083,1.087435234,1.08817329,1.075540511,1.095325369,1.036004995,1.069086969,1.057136043,1.073236693,1.068884122,1.059301594,1.029327546,1.075466382,1.087478082,1.075962798,1.083316816,1.072997272,1.072191443,1.066864702,1.076498103,1.069664109,1.0767184,1.078837935,1.042724642,1.070763092,1.079321158,1.085578679,1.075561844,1.070543663,1.085495044,1.082369708,1.073319802,1.085722587,1.079688883,1.074361141,1.084943497,1.07990498,1.075769447,1.073040885,1.078781561,1.043494235,1.071215345,1.049821105,1.062503219,1.059604065,1.060444879,1.064808292,1.064915618,1.069185786,1.072442581,1.059801477,1.058953771,1.052193055,1.067420884
4,1.078615534,1.060020813,1.077107013,1.067463035,1.084611835,1.07633354,1.062334726,1.089021644,1.076778267,1.088448513,1.081188453,1.081872101,1.086459171,1.080204388,1.09432827,1.08002037,1.094261641,1.074453345,1.081205658,1.077385554,1.074479889,1.085520475,1.082158273,1.080562014,1.085963455,1.069817569,1.087252419,1.08801433,1.075659013,1.095296223,1.035670465,1.06905522,1.056969783,1.072891907,1.068851455,1.059077139,1.029309441,1.075407317,1.087330407,1.075877455,1.083211488,1.072785737,1.072092201,1.066807214,1.076427462,1.069577878,1.076605832,1.0788173,1.042540933,1.07073962,1.079331298,1.085506442,1.075489729,1.070566504,1.085450297,1.082307189,1.073394684,1.085747796,1.079574085,1.074302133,1.08475946,1.079793695,1.075739867,1.072988242,1.078839333,1.043549504,1.071138307,1.049526489,1.062595208,1.059695378,1.060462463,1.06481988,1.064946492,1.069207257,1.072478005,1.059881829,1.058993614,1.052257711,1.067447161
5,1.078624188,1.059989439,1.077061848,1.067460689,1.084653011,1.076341746,1.062298269,1.088894193,1.076776362,1.088443467,1.081112764,1.081836728,1.086406095,1.080220962,1.094321125,1.079965999,1.094200025,1.074412838,1.081132303,1.077314067,1.074488801,1.08545566,1.082146757,1.080577535,1.085808223,1.069729116,1.087072162,1.087857254,1.075772707,1.095266597,1.035322164,1.069019044,1.056801183,1.072550038,1.068816975,1.058852767,1.02928491,1.075344448,1.087183045,1.075789695,1.083104737,1.072575754,1.0719921,1.06674596,1.076353635,1.069489881,1.076493395,1.078794707,1.042342699,1.070712853,1.079339041,1.08543386,1.075416825,1.070583845,1.085404331,1.082243611,1.073463997,1.085769118,1.079458308,1.074240731,1.08457698,1.079682173,1.075709772,1.072933226,1.078891832,1.043601899,1.071059599,1.049230074,1.062685451,1.05978508,1.060479586,1.064830858,1.064976388,1.069227838,1.072512339,1.059960719,1.059032402,1.052320532,1.067473047
6,1.078632598,1.059957601,1.077016434,1.06745716,1.084692677,1.07634907,1.062259498,1.088767356,1.076773855,1.088437661,1.081037293,1.081800991,1.086353065,1.080235709,1.094313074,1.079911262,1.094138211,1.074371961,1.081058895,1.077242326,1.07449583,1.085390494,1.082135034,1.080592231,1.085654661,1.069640733,1.086894437,1.087702048,1.075881649,1.095236496,1.034960422,1.068978504,1.056630277,1.072211063,1.068780712,1.058628488,1.029254063,1.075277849,1.087035997,1.075699558,1.082996596,1.072367316,1.071891165,1.066681009,1.076276674,1.069400158,1.076381098,1.078770201,1.042130244,1.070682851,1.079344431,1.085360953,1.075343162,1.070595784,1.085357172,1.082179007,1.073527841,1.085786632,1.079341572,1.074176995,1.08439605,1.079570432,1.075679183,1.072875884,1.078939171,1.043651446,1.07097926,1.048931898,1.06277396,1.059873181,1.060496251,1.064841231,1.065005311,1.069247532,1.072545592,1.060038156,1.059070141,1.052381537,1.067498544
7,1.078640766,1.059925306,1.076970775,1.067452465,1.084730848,1.076355519,1.062218441,1.08864113,1.076770751,1.088431103,1.080962041,1.081764892,1.08630008,1.080248651,1.094304126,1.079856168,1.094076204,1.074330722,1.080985441,1.077170341,1.074501004,1.085324991,1.082123104,1.080606106,1.085502757,1.069552426,1.086719221,1.087548698,1.075985896,1.095205926,1.034585566,1.068933661,1.056457096,1.071874957,1.068742694,1.058404317,1.02921701,1.075207596,1.086889265,1.075607082,1.082887097,1.072160415,1.071789425,1.06661243,1.07619663,1.069308747,1.076268951,1.078743824,1.04190387,1.070649672,1.079347508,1.085287739,1.075268768,1.070602421,1.085308845,1.082113413,1.073586318,1.085800417,1.079223893,1.074110983,1.084216666,1.079458487,1.075648119,1.072816262,1.078981465,1.043698171,1.070897326,1.048631995,1.062860747,1.059959693,1.060512457,1.064851002,1.065033268,1.069266346,1.072577771,1.060114148,1.059106837,1.05244074,1.067523654
8,1.078648693,1.059892561,1.076924876,1.06744662,1.084767537,1.076361104,1.062175129,1.088515515,1.076767056,1.088423799,1.080887007,1.081728436,1.086247141,1.080259813,1.094294291,1.079800722,1.09401401,1.074289131,1.080911948,1.077098121,1.074504352,1.085259162,1.08211097,1.080619169,1.085352501,1.069464203,1.086546489,1.087397188,1.076085505,1.095174892,1.034197919,1.068884575,1.056281675,1.071541697,1.068702951,1.058180266,1.029173861,1.075133764,1.086742852,1.075512306,1.082776272,1.071955043,1.071686903,1.066540291,1.076113554,1.069215684,1.076156963,1.078715619,1.041663874,1.070613376,1.079348315,1.085214238,1.075193674,1.070603855,1.085259376,1.082046862,1.073639526,1.08581055,1.079105292,1.074042753,1.08403882,1.079346353,1.075616601,1.072754405,1.079018823,1.043742102,1.070813834,1.048330402,1.062945822,1.060044624,1.060528209,1.064860174,1.065060265,1.069284286,1.072608885,1.060188705,1.059142497,1.05249816,1.067548377
9,1.07865638,1.059859374,1.076878739,1.067439641,1.084802759,1.076365833,1.062129592,1.088390509,1.076762773,1.088415759,1.080812193,1.081691628,1.086194249,1.080269217,1.094283579,1.079744934,1.093951634,1.074247195,1.080838421,1.077025676,1.074505902,1.085193019,1.082098631,1.080631423,1.085203881,1.069376069,1.086376218,1.087247505,1.076180532,1.0951434,1.0337978,1.068831306,1.056104045,1.071211257,1.068661512,1.057956345,1.029124723,1.075056426,1.086596759,1.075415269,1.082664151,1.071751193,1.071583628,1.06646466,1.076027499,1.069121007,1.076045144,1.078685627,1.041410551,1.070574019,1.079346893,1.08514047,1.075117907,1.070600181,1.08520879,1.08197939,1.073687563,1.085817108,1.078985785,1.073972361,1.083862507,1.079234046,1.075584647,1.072690358,1.079051356,1.043783264,1.070728821,1.048027153,1.063029197,1.060127985,1.060543507,1.06486875,1.065086308,1.069301358,1.072638941,1.060261836,1.059177128,1.052553814,1.067572716
10,1.078663826,1.059825751,1.076832371,1.067431543,1.084836528,1.076369715,1.06208186,1.088266111,1.076757907,1.088406988,1.0807376,1.081654471,1.086141404,1.080276886,1.094271998,1.079688811,1.093889082,1.074204922,1.080764868,1.076953016,1.074505681,1.085126575,1.082086088,1.080642874,1.085056886,1.069288033,1.086208383,1.087099633,1.076271032,1.095111454,1.033385524,1.068773914,1.055924239,1.070883615,1.068618406,1.057732568,1.029069705,1.074975654,1.086450986,1.075316007,1.082550766,1.071548857,1.071479623,1.066385604,1.075938513,1.069024753,1.075933502,1.07865389,1.041144193,1.070531661,1.079343281,1.085066452,1.075041497,1.070591498,1.085157113,1.081911029,1.073730528,1.085820167,1.07886539,1.073899863,1.083687718,1.079121582,1.075552276,1.072624164,1.079079174,1.043821684,1.070642321,1.047722285,1.063110883,1.060209787,1.060558354,1.064876735,1.065111403,1.069317567,1.072667946,1.060333548,1.059210735,1.052607717,1.067596671
